Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C	016	(4r)-3-[(2r,3s)-3-{[(2,6-dimethylphenoxy)acetyl]amino}-2-hydroxy-4-phenylbutanoyl]-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h- inden-1-yl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
c1cc(c(cc1C(F)(F)F)[N+](=O)[O-])NCc2ccsc2	018	2-nitro-n-(thiophen-3-ylmethyl)-4-(trifluoromethyl)aniline
c1ccc2c(c1)c(c[nH]2)C[C@@H](C(=O)C(C(F)(F)F)(F)F)N	01C	(4s)-4-amino-1,1,1,2,2-pentafluoro-5-(1h-indol-3-yl)pentan-3-one
c1cc2c(cc(o2)C(=O)O)c3c1cc4cc(oc4c3)C(=O)O	01I	naphtho[2,1-b:7,6-b']difuran-2,8-dicarboxylic acid
COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4	01P	n~2~-[3-methoxy-4-(morpholin-4-yl)phenyl]-n~4~-(quinolin-3-yl)pyrimidine-2,4-diamine
CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O	01T	[5-(aminomethyl)-6-(2,2-dimethylpropyl)-2-ethyl-4-(4-methylphenyl)pyridin-3-yl]acetic acid
c1cc2c(cc1N)sc(n2)N	01U	1,3-benzothiazole-2,6-diamine
c1cc(c(cc1Cl)CN)Cl	01V	1-(2,5-dichlorophenyl)methanamine
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])NCC[C@@H](C(=O)[O-])[NH3+]	01W	(2s)-2-ammonio-4-[(2,4-dinitrophenyl)amino]butanoate
c1cc(c(cc1Cl)CN)OCC(=O)O	01X	[2-(aminomethyl)-4-chlorophenoxy]acetic acid
c1cc(oc1)CNc2ccc(cc2[N+](=O)[O-])C(F)(F)F	020	n-(furan-2-ylmethyl)-2-nitro-4-(trifluoromethyl)aniline
Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N	022	3-{1-(4-carbamoyl-2-methylphenyl)-5-[4-(1h-imidazol-1-yl)phenyl]-1h-pyrrol-2-yl}propanoic acid
c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br	024	4-bromo-3-(carboxymethoxy)-5-[3-(cyclohexylamino)phenyl]thiophene-2-carboxylic acid
c1cc(cc(c1)S(=O)(=O)O)C(F)(F)F	025	3-(trifluoromethyl)benzenesulfonic acid
Cc1cc(n[nH]1)NC2=NN(C(=O)c3c2ccc(c3)N4CCN(CC4)C)C(C)C	027	7-(4-methylpiperazin-1-yl)-4-[(5-methyl-1h-pyrazol-3-yl)amino]-2-(propan-2-yl)phthalazin-1(2h)-one
Cc1cc(c(c(c1S(=O)(=O)O)C)C)OC	02B	4-methoxy-2,3,6-trimethylbenzenesulfonic acid
c1ccc(cc1)C[C@@H](C[C@@H]([C@H](Cc2ccc(cc2)c3cccnc3)N)O)N	02H	(2s,3s,5s)-2,5-diamino-6-phenyl-1-[4-(pyridin-3-yl)phenyl]hexan-3-ol
CN[C@@H](c1ccc(c(c1)O)O)C(=O)O	02V	(2s)-(3,4-dihydroxyphenyl)(methylamino)ethanoic acid
CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)Cl)F	032	n-(3-{[5-(4-chlorophenyl)-1h-pyrrolo[2,3-b]pyridin-3-yl]carbonyl}-2,4-difluorophenyl)propane-1-sulfonamide
CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3	033	n-({4'-[(1-benzofuran-2-ylcarbonyl)amino]-1,1'-biphenyl-4-yl}sulfonyl)-l-valine
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(cc3)c4ccc5c(c4)cc([nH]5)C(=O)O	034	5-(4-{[3-(2,6-dichlorophenyl)-5-(propan-2-yl)-1,2-oxazol-4-yl]methoxy}phenyl)-1h-indole-2-carboxylic acid
CC(C)C[C@@H](C(=O)NC[C@](CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c3[nH]nnn3)N	038	3-[[(2s)-2-[[[(2s)-2-[[(2s)-2-[[(2s)-2-azanyl-3-(1h-1,2,3,4-tetrazol-5-ylcarbonylamino)propanoyl]amino]-3-methyl-butanoyl]amino]-4-methyl-pentanoyl]amino]methyl]-2-hydroxy-4-phenyl-butanoyl]amino]benzoic acid
COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4	039	2-((9h-purin-6-ylthio)methyl)-5-chloro-3-(2-methoxyphenyl)quinazolin-4(3h)-one
Cc1c(c(c(n1C)c2ccc(cc2)Cl)c3cccc(c3)N4CCN(CC4)c5ccc(cc5)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])N[C@H](CCN(C)C)CSc7ccccc7)C(=O)O	03B	5-(4-chlorophenyl)-4-{3-[4-(4-{[(4-{[(2r)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrophenyl)sulfonyl]amino}phenyl)piperazin-1-yl]phenyl}-1,2-dimethyl-1h-pyrrole-3-carboxylic acid
Cc1ccccc1n2c(c(cn2)C(=O)c3cccc(c3)C4CCN(CC4)S(=O)(=O)C)N	03C	[5-amino-1-(2-methylphenyl)-1h-pyrazol-4-yl]{3-[1-(methylsulfonyl)piperidin-4-yl]phenyl}methanone
C[C@@](CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C	03I	(2r)-n-hydroxy-2-methyl-2-(methylsulfonyl)-4-{4'-[3-(morpholin-4-yl)propoxy]biphenyl-4-yl}butanamide
c1ccc(cc1)c2cc(sc2)c3ccc(cc3)CCC(=O)O	03J	3-[4-(4-phenylthiophen-2-yl)phenyl]propanoic acid
c1ccc(c(c1)C(=O)NCc2c(cccc2Cl)Sc3ccc(cc3Cl)Cl)C(=O)O	03L	2-({2-chloro-6-[(2,4-dichlorophenyl)sulfanyl]benzyl}carbamoyl)benzoic acid
Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl	03M	(5z)-5-[(6-chloro-7-methyl-1h-indol-3-yl)methylidene]-3-(3,4-difluorobenzyl)imidazolidine-2,4-dione
CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O	03P	n-{2-[4-({3-chloro-4-[3-(trifluoromethyl)phenoxy]phenyl}amino)-5h-pyrrolo[3,2-d]pyrimidin-5-yl]ethyl}-3-hydroxy-3-methylbutanamide
c1cc(cc(c1)Oc2c(cc(cn2)Nc3c4c(ccn4CCOCCO)ncn3)Cl)C(F)(F)F	03Q	2-{2-[4-({5-chloro-6-[3-(trifluoromethyl)phenoxy]pyridin-3-yl}amino)-5h-pyrrolo[3,2-d]pyrimidin-5-yl]ethoxy}ethanol
[H]/N=C(/c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccccc3C(=O)O)F)N[C@@H](C)CCc4ccccc4)F)\N	03R	2-({6-{3-[amino(imino)methyl]phenoxy}-3,5-difluoro-4-[(1-methyl-3-phenylpropyl)amino]-2-pyridinyl}oxy)benzoic acid
c1ccc2c(c1)cc(s2)S(=O)(=O)N	03T	1-benzothiophene-2-sulfonamide
CC/C(=C(\C#N)/C(=O)Nc1ccc(c(c1)C(=O)OC)c2ccc(cc2)F)/O	03U	methyl 4-{[(2z)-2-cyano-3-hydroxypent-2-enoyl]amino}-4'-fluorobiphenyl-2-carboxylate
c1ccc2cc(ccc2c1)O	03V	naphthalen-2-ol
CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC	03X	n-{4-[(6,7-dimethoxyquinolin-4-yl)oxy]-3-fluorophenyl}-1,5-dimethyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O	041	2-(3-fluoro-4-hydroxyphenyl)-7-vinyl-1,3-benzoxazol-5-ol
c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O	043	4-(3-bromophenyl)-2,4-dioxobutanoic acid
CC1=C(C(=O)N(N1C[C@@H](C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC	044	n-{3-fluoro-4-[(7-methoxyquinolin-4-yl)oxy]phenyl}-1-[(2r)-2-hydroxypropyl]-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide
CC(=O)Nc1cc(ncn1)Oc2ccc3c(c2)CCN3C(=O)Nc4ccc(c(c4)C(F)(F)F)CN5CCN(CC5)C	046	5-{[6-(acetylamino)pyrimidin-4-yl]oxy}-n-{4-[(4-methylpiperazin-1-yl)methyl]-3-(trifluoromethyl)phenyl}-2,3-dihydro-1h-indole-1-carboxamide
Cc1ccc(cc1)n2cc(c3c2cccc3)CNCC4CCCCC4	047	1-cyclohexyl-n-{[1-(4-methylphenyl)-1h-indol-3-yl]methyl}methanamine
c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCCCC4=O	048	n-{2-fluoro-5-[(5-oxo-6,7,8,9-tetrahydro-5h-benzo[7]annulen-2-yl)amino]phenyl}benzamide
c1cc2c(cc1O)OC3=CC(=O)C=CC3=N2	04G	7-hydroxy-3h-phenoxazin-3-one
Cc1ccc(cc1C(=O)Nc2cc3c([nH]c(n3)c4ccccc4)nc2)NC(=O)/C=C/c5ccccc5	04L	2-methyl-n-(2-phenyl-3h-imidazo[4,5-b]pyridin-6-yl)-5-{[(2e)-3-phenylprop-2-enoyl]amino}benzamide
CCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)S(=O)(=O)N3CCOCC3	04M	5-(morpholin-4-ylsulfonyl)-2-{[3-(octyloxy)benzyl]oxy}benzoic acid
CC(=O)Nc1ccc(cc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)C	04T	n-(4-{[4-(methylsulfonyl)-2-nitrophenyl]amino}phenyl)acetamide
CCCCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)[N+](=O)[O-]	04W	2-{[3-(decyloxy)benzyl]oxy}-5-nitrobenzoic acid
COc1cccc(c1)C(=O)c2c(nc(s2)Nc3ccc(cc3)S(=O)(=O)N)N	04Z	4-{[4-amino-5-(3-methoxybenzoyl)-1,3-thiazol-2-yl]amino}benzenesulfonamide
c1cc(c(cc1C#N)F)COc2ccc3cc(ccc3c2)S(=O)(=O)N[C@H]4CC[C@H](C[C@H]4C(=O)O)C(=O)O	051	(1r,3r,4s)-4-[({6-[(4-cyano-2-fluorobenzyl)oxy]naphthalen-2-yl}sulfonyl)amino]cyclohexane-1,3-dicarboxylic acid
Cc1cc(ccc1C(=O)NC2CC2)c3cnn4c3nc(cc4NCCN5CCOCC5)Oc6ccccc6	052	n-cyclopropyl-2-methyl-4-(7-{[2-(morpholin-4-yl)ethyl]amino}-5-phenoxypyrazolo[1,5-a]pyrimidin-3-yl)benzamide
c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)C4=CC=CNC4=O	053	1-[(2-aminopyridin-4-yl)methyl]-3-(2-oxo-1,2-dihydropyridin-3-yl)-5-(trifluoromethyl)-1h-indole-2-carboxylic acid
c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)N4C(=O)c5cscc5NC4=O	054	1-[(2-aminopyridin-4-yl)methyl]-3-(2,4-dioxo-1,2-dihydrothieno[3,4-d]pyrimidin-3(4h)-yl)-5-(trifluoromethyl)-1h-indole-2-carboxylic acid
Cc1cccc(c1NC(=O)Nc2cc3ccccc3cc2C(=O)N[C@@H](c4ccccc4)C(=O)O)Cl	055	(2s)-{[(3-{[(2-chloro-6-methylphenyl)carbamoyl]amino}naphthalen-2-yl)carbonyl]amino}(phenyl)ethanoic acid
c1cc(cc(c1)C(=O)O)CSCc2ccc(cc2Cl)Cl	056	3-[(2,4-dichlorophenyl)methylsulfanylmethyl]benzoic acid
CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3	057	n-(2-hydroxy-1,1-dimethylethyl)-1-methyl-3-(1h-pyrrolo[2,3-b]pyridin-2-yl)-1h-indole-5-carboxamide
c1ccc(cc1)Cn2c3ccc(cc3c(c2C(=O)O)c4ccccc4F)Cl	058	1-benzyl-5-chloro-3-(2-fluorophenyl)-1h-indole-2-carboxylic acid
CC(C)[C@H](NS(=O)(=O)CCc1ccccc1)[P@](=O)(C[C@@H](c2cccc(c2)CN)C(=O)O)O	059	(2s)-2-[3-(aminomethyl)phenyl]-3-{(s)-hydroxy[(1r)-2-methyl-1-{[(2-phenylethyl)sulfonyl]amino}propyl]phosphoryl}propanoic acid
c1cc2c(cc1c3nccc(n3)c4cc5c([nH]4)C6(CCNCC6)CNC5=O)OCO2	05B	2'-[2-(1,3-benzodioxol-5-yl)pyrimidin-4-yl]-5',6'-dihydrospiro[piperidine-4,7'-pyrrolo[3,2-c]pyridin]-4'(1'h)-one
Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5CCNC[C@H]5C)OC[C@@H]6CCCN6C)C3	05C	7-(8-methylnaphthalen-1-yl)-4-[(2~{r})-2-methylpiperazin-1-yl]-2-[[(2~{s})-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5~{h}-pyrido[3,4-d]pyrimidine
Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5[C@@H]6CC[C@H]5CNC6)OC[C@@H]7CCCN7C)C3	05F	4-[(1~{r},5~{s})-3,8-diazabicyclo[3.2.1]octan-8-yl]-7-(8-methylnaphthalen-1-yl)-2-[[(2~{s})-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5~{h}-pyrido[3,4-d]pyrimidine
Cc1cccc2c1c(ccc2)N3CCc4c(nc(nc4N5C[C@H]6CC[C@@H](C5)N6)OC[C@@H]7CCCN7C)C3	05I	4-[(1~{s},5~{r})-3,8-diazabicyclo[3.2.1]octan-3-yl]-7-(8-methylnaphthalen-1-yl)-2-[[(2~{s})-1-methylpyrrolidin-2-yl]methoxy]-6,8-dihydro-5~{h}-pyrido[3,4-d]pyrimidine
c1cc(c(cc1CC(=O)O)Cl)Cl	05R	2-(3,4-dichlorophenyl)ethanoic acid
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](CNCCC2)C)C(=O)N	05S	(6s)-6,15,15,18-tetramethyl-17-oxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-8,12-(metheno)[1,4,9]triazacyclotetradecino[9,8-a]indole-9-carboxamide
CN1CCC(CC1)C(=O)c2cccc(n2)NC(=O)c3c(cc(cc3F)F)F	05X	2,4,6-tris(fluoranyl)-n-[6-(1-methylpiperidin-4-yl)carbonylpyridin-2-yl]benzamide
CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O	061	2-butyl-6-hydroxy-3-[2'-(1h-tetrazol-5-yl)-biphenyl-4-ylmethyl]-3h-quinazolin-4-one
c1ccc2c(c1)-c3c[n+](ccc3[C@]2(C(=O)N4CCC[C@H]4C(=O)NCc5cc(ccc5CN)Cl)O)[O-]	062	3-aza-9-hydroxy-9-fluorenylcarbonyl-l-prolyl-2-aminomethyl-5-chlorobenzylamide, n-oxide
C[C@]1(c2cc(c(cc2CCN1)OCCOCCNC(=O)[C@H](CCCNC(=NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)Oc3ccc(c(c3)F)c4ccc(cc4)C(=O)O)CC(=O)Nc5nccs5	063	4'-{[(1r)-6-{2-[2-({n~5~-[n,n'-bis(tert-butoxycarbonyl)carbamimidoyl]-n~2~-(tert-butoxycarbonyl)-l-ornithyl}amino)ethoxy]ethoxy}-1-methyl-1-{2-oxo-2-[(1,3-thiazol-2-yl)amino]ethyl}-1,2,3,4-tetrahydroisoquinolin-7-yl]oxy}-2'-fluoro[1,1'-biphenyl]-4-carboxylic acid
CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)\C=C\c4cccc(c4)C(=O)O	064	3-[(e)-2-(2-chloro-4-{[3-(2,6-dichlorophenyl)-5-(1-methylethyl)isoxazol-4-yl]methoxy}phenyl)ethenyl]benzoic acid
CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5	065	(3r,3as,6ar)-hexahydrofuro[2,3-b]furan-3-yl(2s,3r)-3-hydroxy-4-(n-isobutylbenzo[d][1,3]dioxole-5-sulfonamido)-1-phenylbutan-2-ylcarbamate
Cc1cc(cc2c1ncc(c2Nc3cccc(c3)OC)C(=O)N)S(=O)(=O)c4cccc(c4)C(=O)N(C)C	066	6-{[3-(dimethylcarbamoyl)phenyl]sulfonyl}-4-[(3-methoxyphenyl)amino]-8-methylquinoline-3-carboxamide
CC(=O)c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O	068	(3s)-5-(4'-acetylbiphenyl-4-yl)-3-hydroxypentanoic acid
c1cc(cc(c1)O)C(=O)NO	069	n,3-dihydroxybenzamide
COc1ccc(c(c1C(=O)O)OC)Br	06B	3-bromo-2,6-dimethoxybenzoic acid
c1c(cnc2c1sc3c2N=C(NC3=O)CNCCCCCC(=O)O)Br	06E	6-[(11-bromanyl-6-oxidanylidene-8-thia-3,5,13-triazatricyclo[7.4.0.0^{2,7}]trideca-1(9),2(7),3,10,12-pentaen-4-yl)methylamino]hexanoic acid
Cc1ccc(cc1)n2c(cc(n2)C(C)(C)C)NC(=O)Nc3cccc(c3)Nc4ccc5c(c4)CCCCC5=O	06F	1-[3-tert-butyl-1-(4-methylphenyl)-1h-pyrazol-5-yl]-3-{3-[(5-oxo-6,7,8,9-tetrahydro-5h-benzo[7]annulen-2-yl)amino]phenyl}urea
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](C(=O)N(CCC2)C)C)C(=O)N	06H	(6s)-4,6,15,15,18-pentamethyl-5,17-dioxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-12,8-(metheno)[1,4,9]triazacyclotetradecino[9,8-a]indole-9-carboxamide
Cc1c(ncs1)COc2cc(cc(c2)Cl)C3=CC(=CN(C3=O)c4cccnc4)C5=CNC(=O)NC5=O	06I	5-(3-{3-chloro-5-[(5-methyl-1,3-thiazol-4-yl)methoxy]phenyl}-2-oxo-2h-[1,3'-bipyridin]-5-yl)pyrimidine-2,4(1h,3h)-dione
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC[C@H]5CCCN5CCC2)C(=O)N	06J	(3ar)-13,13,16-trimethyl-15-oxo-1,2,3,3a,4,5,12,14,15,17,18,19-dodecahydro-13h-10,6-(metheno)pyrrolo[2',1':3,4][1,4,9]triazacyclotetradecino[9,8-a]indole-7-carboxamide
CS(=N)(=O)C1(CC1)c2cc(nc(n2)c3ccnc4c3cc[nH]4)C5=CN(C(=O)c6c5cc[nH]6)CCC=C	06M	6-(but-3-en-1-yl)-4-[6-{1-[(r)-s-methanesulfonimidoyl]cyclopropyl}-2-(1h-pyrrolo[2,3-b]pyridin-4-yl)pyrimidin-4-yl]-1,6-dihydro-7h-pyrrolo[2,3-c]pyridin-7-one
CCCNc1nn2c(cnc2s1)c3ccc(cc3)O	06N	4-[2-(propylamino)imidazo[2,1-b][1,3,4]thiadiazol-5-yl]phenol
c1ccc2c(c1)C(=O)NC(=N2)c3ccc(cc3)C(F)(F)F	06R	2-[4-(trifluoromethyl)phenyl]-3h-quinazolin-4-one
Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H]([C@@H](CN(CC2)C(=O)[C@H](C)N)C)C)C(=O)N	06T	(5r,6s)-3-(l-alanyl)-5,6,15,15,18-pentamethyl-17-oxo-2,3,4,5,6,7,14,15,16,17-decahydro-1h-12,8-(metheno)[1,5,9]triazacyclotetradecino[1,2-a]indole-9-carboxamide
CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)c3ccncc3	06U	6-ethyl-5-{(3r)-3-[3-methoxy-5-(pyridin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)N3CCOCC3	06V	6-ethyl-5-{(3r)-3-[3-methoxy-5-(morpholin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
CCc1c(c(nc(n1)N)N)C#C[C@@H](C)c2cc(cc(c2)OC)c3ccncc3	06W	6-ethyl-5-{(3s)-3-[3-methoxy-5-(pyridin-4-yl)phenyl]but-1-yn-1-yl}pyrimidine-2,4-diamine
c1ccc(cc1)C(=O)c2c(nc(s2)Nc3cccc(c3)F)N	06Z	{4-amino-2-[(3-fluorophenyl)amino]-1,3-thiazol-5-yl}(phenyl)methanone
Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cc(ccc4OC)N5CCN(CC5)C	071	8-{[2-methoxy-5-(4-methylpiperazin-1-yl)phenyl]amino}-1-methyl-4,5-dihydro-1h-pyrazolo[4,3-h]quinazoline-3-carboxamide
CC1([C@H](N(CS1)C(=O)[C@H]([C@H](Cc2ccccc2)NC(=O)[C@H](CS(=O)(=O)C)NC(=O)COc3cccc4c3ccnc4)O)C(=O)N[C@H]5c6ccccc6C[C@H]5O)C	075	(4r)-n-[(1s,2r)-2-hydroxy-2,3-dihydro-1h-inden-1-yl]-3-[(2s,3s)-2-hydroxy-3-({n-[(isoquinolin-5-yloxy)acetyl]-3-(methyl sulfonyl)-l-alanyl}amino)-4-phenylbutanoyl]-5,5-dimethyl-1,3-thiazolidine-4-carboxamide
c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O	077	(3s)-5-biphenyl-4-yl-3-hydroxypentanoic acid
CSc1ncc2cc3cnccc3c(c2n1)[N+](=O)[O-]	07C	2-methylsulfanyl-10-nitro-pyrido[3,4-g]quinazoline
CC1=C(C(=O)N(C(=N1)c2cccc(c2O)F)CCc3ccccc3)Cc4ccccc4	07F	5-benzyl-2-(3-fluoro-2-hydroxyphenyl)-6-methyl-3-(2-phenylethyl)pyrimidin-4(3h)-one
CC(C)(C)NC(=O)[C+](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(c(c3)F)F)C=O	07G	2-(tert-butylamino)-1-(2-carboxy-6-chloro-1h-indol-3-yl)-1-[(3,4-difluorobenzyl)(formyl)amino]-2-oxoethylium
c1ccc2c(c1)C=C(CO2)CN3CCN(CC3)C(=O)c4cccc(c4)c5ccn[nH]5	07H	[4-(2h-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1h-pyrazol-5-yl)phenyl]methanone
CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl	07J	3-(2,6-dichloro-3,5-dimethoxyphenyl)-1-(6-{[4-(4-ethylpiperazin-1-yl)phenyl]amino}pyrimidin-4-yl)-1-methylurea
Cc1cccc2c1nccc2N	07K	8-methylquinolin-4-amine
c1cc2c(cc1O)OC(=O)C=C2	07L	7-hydroxy-2h-chromen-2-one
C[C@H](c1cccc(c1)OC)NC(=O)Nc2nc(cs2)c3ccncc3	07Q	1-[(1r)-1-(3-methoxyphenyl)ethyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea
c1cc(cc(c1)O)CNC(=O)Nc2nc(cs2)c3ccncc3	07R	1-[(3-hydroxyphenyl)methyl]-3-(4-pyridin-4-yl-1,3-thiazol-2-yl)urea
c1cc(cnc1)c2cnc(s2)Nc3cc(ccn3)N4CCN(CC4)CC(=O)N5CCOCC5	07S	1-(morpholin-4-yl)-2-[4-(2-{[5-(pyridin-3-yl)-1,3-thiazol-2-yl]amino}pyridin-4-yl)piperazin-1-yl]ethanone
Cn1c2cc(sc2c3c1C(=O)N(N=C3)Cc4cccc(c4)N)[S@](=O)C	07T	6-(3-aminobenzyl)-4-methyl-2-methylsulfinyl-4,6-dihydro-5h-thieno[2',3':4,5]pyrrolo[2,3-d]pyridazin-5-one
CC(C)(CNc1c2ccncc2cc(n1)c3ccncc3)N	07U	2-methyl-n~1~-[3-(pyridin-4-yl)-2,6-naphthyridin-1-yl]propane-1,2-diamine
